canonical_name,aliases,manufacturers,unitPrice
insulin glargine,"lantus,basaglar,toujeo,abasaglar,glaritus,glargin,lantus solostar,insulin glargine 100u/ml","Sanofi (Lantus/Toujeo), Eli Lilly (Basaglar)",1850.00
insulin regular,"actrapid,humulin r,novolin r,insuman rapid,regular insulin,actrapid 100iu/ml","Novo Nordisk (Actrapid/Novolin), Eli Lilly (Humulin)",750.00
insulin isophane,"humulin n,novolin n,insulatard,humulin nph,insuman basal,insulatard 100iu/ml","Novo Nordisk (Insulatard/Novolin), Eli Lilly (Humulin)",750.00
insulin aspart,"novorapid,novolog,fiasp,insulin aspart,novorapid 100iu/ml",Novo Nordisk (NovoRapid/Fiasp),1350.00
insulin mixtard,"mixtard,novomix,humulin m3,insuman comb,mixtard 30,mixtard 50","Novo Nordisk (Mixtard/NovoMix), Eli Lilly",850.00
levothyroxine,"eltroxin,synthroid,thyrox,thyronorm,levoxyl,euthyrox,oroxine,levothroid,tirosint,eltroxin 50mcg,eltroxin 100mcg,thyrox 50,thyrox 100","Merck (Euthyrox), GSK (Eltroxin), AbbVie (Synthroid)",28.00
furosemide,"lasix,frusemide,frusamide,frusid,diuride,frusol,fusid,froop,furosemide tablets,lasix 40mg,furosemide 40mg","Sanofi (Lasix), Various generics",12.00
spironolactone,"aldactone,spiron,spiractin,berlactone,spiro,lasilactone,aldactide,spironolactone 25mg,spironolactone 100mg","Pfizer (Aldactone), Various",25.00
nifedipine,"adalat,nicardia,calchek,depin,cardilat,nifedipine xl,adalat la,adalat cc,procardia,adalat 10,adalat 30,nifedipine 10mg","Bayer (Adalat), Cipla (Nicardia), Various",22.00
glibenclamide,"daonil,gliben,euglucon,semi-daonil,glibenclamide,glimel,glynase,daonil 5mg,glibenclamide 5mg","Sanofi (Daonil/Euglucon), Pfizer (Glynase)",12.00
glimepiride,"amaryl,glimpid,glimepiride,glimy,glimperide,glimisave,glimer,glimistar,amaryl 1mg,amaryl 2mg,glimepiride 1mg,glimepiride 2mg,glimepiride 4mg","Sanofi (Amaryl), Sun Pharma (Glimy), Cipla",35.00
simvastatin,"zocor,simcard,simtin,simlup,zuvastat,simvastatin,denan,liponorm,sivastin,zocor 20mg,simvastatin 20mg,simvastatin 40mg","Merck (Zocor), Cipla (Simcard), Ranbaxy (Simlup)",32.00
clopidogrel,"plavix,clopilet,clopivas,deplatt,clopid,cardogrel,clopicard,plagril,clopilet,plavix 75mg,clopidogrel 75mg","Sanofi/BMS (Plavix), Sun Pharma (Clopilet), Cipla",95.00
warfarin,"coumadin,warf,warfin,jantoven,warfarin sodium,coumarin,marevan,warfarin 1mg,warfarin 3mg,warfarin 5mg","Bristol Myers Squibb (Coumadin), Various generics",28.00
digoxin,"lanoxin,digacin,cardiogoxin,digoxine,digitek,digox,lanoxin 0.25mg,digoxin 0.25mg","GSK (Lanoxin), Various",18.00
phenytoin,"dilantin,eptoin,phenytoin sodium,epanutin,phenytek,phenytoin capsules,dilantin 100mg,phenytoin 100mg","Pfizer (Dilantin), Sun Pharma (Eptoin)",15.00
carbamazepine,"tegretol,tegrital,mazetol,carbatol,epitol,carbamazepine cr,tegretol cr,carbagen,tegretol 200mg,carbamazepine 200mg","Novartis (Tegretol), Sun Pharma (Tegrital), Cipla",25.00
valproate,"epilim,encorate,valprol,valproic acid,valparin,depakote,depakene,valproate sodium,convulex,epilim 200mg,valproate 200mg,depakote 500mg","Abbott (Depakote), Sun Pharma (Encorate), Sanofi (Epilim)",35.00
methotrexate,"mtx,methofar,folitrax,methoblastin,methotrexate sodium,rheumatrex,trexall,methotrexate 2.5mg,mtx 2.5mg","Pfizer (Rheumatrex), Cipla (Folitrax)",45.00
hydroxychloroquine,"plaquenil,hcqs,hydroxychloroquine sulfate,quinoric,hydroquin,hcqs 200,plaquenil 200mg,hydroxychloroquine 200mg","Sanofi (Plaquenil), Sun Pharma (HCQS)",85.00
colchicine,"colchicin,colgout,colchis,colcrys,colchicine tablets,colchicine 0.5mg,colchicine 1mg","Takeda (Colcrys), Various",35.00
allopurinol,"zyloric,alloril,zylol,zyloprim,allohexal,allopur,puricos,uriconorm,zyloric 100mg,zyloric 300mg,allopurinol 100mg,allopurinol 300mg","GSK (Zyloric), Sun Pharma (Alloril)",18.00
tramadol,"tramal,ultram,ultracet,tramacip,tramazac,tridol,tramake,zydol,tramquel,tramadol 50mg,tramadol 100mg","Grunenthal (Tramal), Cipla (Tramacip), Sun Pharma",35.00
ondansetron,"zofran,emeset,ondem,vomitrol,ondansetron hcl,zuplenz, ondansetron odt,zofran 4mg,ondansetron 4mg,ondansetron 8mg,emeset 4","GSK (Zofran), Cipla (Emeset), Sun Pharma (Ondem)",45.00
domperidone,"motilium,domstal,domperi,domperidon,vomistop,motinorm,domperon,peridon,domperidone 10mg,motilium 10","Janssen (Motilium), Cipla (Domstal), Sun Pharma",18.00
metoclopramide,"maxolon,perinorm,reglan,metamide,metoclop,pramin,metoclopramide hcl,perinorm 10mg,metoclopramide 10mg","Beaufour (Primperan), Cipla (Perinorm), Various",12.00
loperamide,"imodium,lopemid,lopedium,loperacap,diatabs,loperamide hcl,imodium plus,imodium 2mg,loperamide 2mg","Janssen (Imodium), Cipla (Lopemid)",20.00
oral rehydration salts,"ors,electral,normasol,pedialyte,hydralyte,rehydrat,dioralyte,orsl,electrolit,ors sachet,electral sachet,ors powder","Abbott (Pedialyte), Various local brands",15.00
chlorpheniramine,"piriton,chlor-trimeton,chlorphen,allercalm,histacalm,chlorphenamine,chlortrimeton,piriton 4mg,chlorpheniramine 4mg","GSK (Piriton), Schering (Chlor-Trimeton)",8.00
loratadine,"claritin,clarityn,lorano,loratyn,claratyne,loridin,loratadine,roletra,claritin 10mg,loratadine 10mg","Schering (Claritin/Clarityn), Various",22.00
fexofenadine,"telfast,allegra,fexet,fexofast,altiva,fexofenadine hcl,allegra d,telfast 120mg,telfast 180mg,fexofenadine 120mg","Sanofi (Telfast), Chattem (Allegra)",65.00
montelukast,"singulair,montair,montek,romilast,astharide,montelo,lukast,monticope,singulair 10mg,montelukast 10mg,montair 10","Merck (Singulair), Cipla (Montair), Sun Pharma (Montek)",95.00
budesonide,"pulmicort,budecort,rhinocort,budelin,symbicort,budesonide inhaler,noex,pulmicort 200mcg,budecort 200","AstraZeneca (Pulmicort/Symbicort), Cipla (Budecort)",450.00
fluticasone,"flixotide,flixonase,seretide,flovent,flutide,fluticasone propionate,avamys,relvar,flixotide 125mcg,flixotide 250mcg","GSK (Flixotide/Seretide/Avamys), Various",385.00
magnesium sulfate,"magnesia,magtrate,slow-mag,epsom salt,magnesium sulphate,mag sulfate,mag sulphate",Various,25.00
potassium chloride,"k-lor,slow-k,klor-con,potassium,kloref,kay ciel,micro-k,slow k 600mg,potassium 600mg","Abbott, Various generics",18.00
calcium gluconate,"calcium gluconate injection,calciglu,calcium gluconate tablets",Various,45.00
valsartan,"diovan,valsartan,valzaar,vamlo,valtan,co-diovan,diovan 80mg,diovan 160mg,valsartan 80mg,valsartan 160mg","Novartis (Diovan), Sun Pharma (Valzaar), Cipla",65.00
ramipril,"altace,ramipril,cardace,hopace,tritace,ramicard,ramace,ramipril 2.5mg,ramipril 5mg,ramipril 10mg,cardace 5","Sanofi (Tritace), AstraZeneca (Altace), Sun Pharma (Cardace)",35.00
lisinopril,"zestril,prinivil,lisinopril,listril,lipril,linvas,hipril,lisinopril 5mg,lisinopril 10mg,lisinopril 20mg,zestril 10","AstraZeneca (Zestril), Merck (Prinivil), Cipla (Listril)",28.00
telmisartan,"micardis,telma,telmikind,telsartan,telvas,telmisartan,micardis 40mg,telmisartan 40mg,telmisartan 80mg","Boehringer (Micardis), Glenmark (Telma), Sun Pharma",55.00
bisoprolol,"concor,bisoprolol,biselect,corbis,bisocor,cardicor,concor 2.5mg,concor 5mg,bisoprolol 2.5mg,bisoprolol 5mg","Merck (Concor), Sun Pharma (Biselect)",35.00
metoprolol,"lopressor,toprol,metolar,metoprolol tartrate,metoprolol succinate,betaloc,seloken,betaloc 50mg,metoprolol 50mg,metoprolol 100mg","AstraZeneca (Betaloc/Seloken), Novartis (Lopressor)",28.00
atenolol,"tenormin,aten,ateno,betacard,atenolol tablets,tenolol,atenolol 50mg,atenolol 100mg,tenormin 50","AstraZeneca (Tenormin), Cipla (Aten), Sun Pharma",18.00
propranolol,"inderal,propranolol hcl,betacap,propranolol la,ciplar,betanol,inderal 10mg,inderal 40mg,propranolol 10mg,propranolol 40mg","AstraZeneca (Inderal), Sun Pharma (Ciplar)",15.00
amlodipine besylate,"norvasc,amlovas,amlip,stamlo,amcard,amlodac,amlo,amlosafe,amlodipine besylate 5mg,amlodipine besylate 10mg","Pfizer (Norvasc), Cipla (Amlovas)",28.00
diltiazem,"cardizem,dilzem,tildiem,diltiazem hcl,angizem,diltelan,dilzem 60mg,diltiazem 60mg,diltiazem 90mg","Abbott (Cardizem), Sun Pharma (Dilzem)",35.00
cefuroxime,"zinnat,ceftin,cefuroxime axetil,ceroxim,altacef,furoxime,zinnat 250mg,zinnat 500mg,cefuroxime 500mg","GSK (Zinnat/Ceftin), Cipla (Altacef)",95.00
ceftriaxone,"rocephin,monocef,ceftriaxone sodium,oframax,cefaxone,biotrakson,ceftriaxone 1g injection","Roche (Rocephin), Sun Pharma (Monocef)",450.00
cefixime,"suprax,taxim,cefspan,cefixime capsules,topcef,mahacef,cefixime 200mg,cefixime 400mg,taxim o 200","Lupin (Suprax), Alkem (Taxim), Sun Pharma",65.00
clarithromycin,"biaxin,claribid,clarac,clarimycin,klacid,crixan,claripen,klacid 250mg,klacid 500mg,clarithromycin 250mg,clarithromycin 500mg","Abbott (Biaxin/Klacid), Cipla (Claribid)",95.00
levofloxacin,"levaquin,tavanic,levoflox,levofloxacin tablets,levox,l-cin,levofloxacin 500mg,levofloxacin 750mg,levox 500","Janssen (Levaquin), Sanofi (Tavanic), Cipla",65.00
moxifloxacin,"avelox,moxif,moxifloxacin hcl,moxiget,iquix,vigamox,avelox 400mg,moxifloxacin 400mg","Bayer (Avelox), Sun Pharma (Moxif)",145.00
fluconazole,"diflucan,forcan,syscan,fluconazole capsules,flucoral,fluzole,diflucan 50mg,diflucan 150mg,fluconazole 150mg,forcan 150","Pfizer (Diflucan), Cipla (Forcan), Sun Pharma (Syscan)",65.00
acyclovir,"zovirax,acivir,acyclovir cream,herpex,cyclovir,aciclovir,zovirax cream,acyclovir 200mg,acyclovir 400mg","GSK (Zovirax), Cipla (Acivir)",35.00
oseltamivir,"tamiflu,antiflu,oseltamivir phosphate,fluvir,tamiflu 75mg,oseltamivir 75mg","Roche (Tamiflu), Cipla (Antiflu)",850.00
hydroxyzine,"atarax,ucerax,vistaril,hydroxyzine hcl,hydroxyzine pamoate,atarax 10mg,atarax 25mg,hydroxyzine 25mg","UCB (Atarax/Ucerax), Pfizer (Vistaril)",22.00
diazepam,"valium,diazepam tablets,antenex,diazemuls,stesolid,tensium,valium 5mg,diazepam 5mg,diazepam 10mg","Roche (Valium), Various",18.00
alprazolam,"xanax,alprax,alzolam,alprazolam tablets,restyl,zolax,xanax 0.25mg,xanax 0.5mg,alprazolam 0.5mg","Pfizer (Xanax), Sun Pharma (Alprax)",25.00
clonazepam,"klonopin,clonotril,rivotril,clonazepam tablets,epitril,rivotril 0.5mg,rivotril 2mg,clonazepam 0.5mg,clonazepam 2mg","Roche (Rivotril/Klonopin), Sun Pharma (Clonotril)",28.00
amitriptyline,"elavil,amitriptyline hcl,tryptomer,amitril,saroten,endep,amitriptyline 10mg,amitriptyline 25mg,tryptomer 10","Merck (Elavil), Sun Pharma (Tryptomer)",12.00
sertraline,"zoloft,serlift,lustral,serenata,sertraline hcl,serta,daxid,zoloft 50mg,sertraline 50mg,sertraline 100mg","Pfizer (Zoloft/Lustral), Sun Pharma (Serlift)",55.00
fluoxetine,"prozac,fludac,fluoxetine hcl,fluoxetine capsules,olanzac,fluctin,prozac 20mg,fluoxetine 20mg,fludac 20","Eli Lilly (Prozac), Cipla (Fludac)",35.00
escitalopram,"lexapro,cipralex,s-citadep,stalopam,escitalopram oxalate,nexito,lexapro 10mg,escitalopram 10mg,nexito 10","Lundbeck (Lexapro/Cipralex), Sun Pharma (Nexito)",65.00
olanzapine,"zyprexa,oleanz,olanzapine tablets,olanex,oliza,olanzin,zyprexa 5mg,olanzapine 5mg,olanzapine 10mg","Eli Lilly (Zyprexa), Sun Pharma (Oleanz)",95.00
risperidone,"risperdal,sizodon,risperidone tablets,risdone,rispen,risperidal,risperdal 1mg,risperidone 1mg,risperidone 2mg","Janssen (Risperdal), Sun Pharma (Sizodon)",45.00
gabapentin,"neurontin,gabantin,gabapin,gabapentin capsules,gabator,nupentin,neurontin 300mg,gabapentin 300mg,gabapentin 400mg","Pfizer (Neurontin), Sun Pharma (Gabantin)",45.00
pregabalin,"lyrica,pregabalin capsules,pregalin,pregeb,nervigesic,lyrica cr,lyrica 75mg,pregabalin 75mg,pregabalin 150mg","Pfizer (Lyrica), Sun Pharma (Pregalin)",95.00
tamsulosin,"flomax,urimax,tamsulosin hcl,contiflo,tamspar,veltam,flomax 0.4mg,tamsulosin 0.4mg,urimax 0.4","Boehringer (Flomax), Cipla (Urimax)",55.00
sildenafil,"viagra,penegra,sildenafil citrate,suhagra,caverta,manforce,viagra 50mg,sildenafil 50mg,sildenafil 100mg","Pfizer (Viagra), Sun Pharma (Caverta), Cipla (Suhagra)",250.00
tadalafil,"cialis,tadacip,tadalafil tablets,tadalista,vidalista,tadarise,cialis 10mg,tadalafil 10mg,tadalafil 20mg","Eli Lilly (Cialis), Cipla (Tadacip)",350.00
methylprednisolone,"medrol,solumedrol,methylprednisolone tablets,medrox,depomedrol,medrol 4mg,medrol 16mg,methylprednisolone 4mg",Pfizer (Medrol/Solumedrol),45.00
hydrocortisone,"cortef,solu-cortef,hydrocortisone cream,efcortesol,cortisol,hydrocortisone 1% cream,cortef 10mg","Pfizer (Cortef/Solu-cortef), Various",95.00
betamethasone,"celestone,betnesol,betamethasone valerate,diprosone,becodisk,betnesol 0.5mg,betamethasone 0.5mg","Merck (Celestone), GSK (Betnesol)",22.00
dexamethasone,"decadron,dexona,dexamethasone tablets,decdan,ozurdex,maxidex,dexona 0.5mg,dexamethasone 0.5mg,dexamethasone 4mg","Merck (Decadron), Sun Pharma (Dexona)",18.00
ketoconazole,"nizoral,ketoconazole cream,ketoderm,fungoral,ket,nizoral shampoo,ketoconazole 2% cream,nizoral cream","Janssen (Nizoral), Various",85.00
terbinafine,"lamisil,terbinafine hcl,zimig,terbicip,sebifin,lamisil cream,terbinafine 250mg,lamisil 250mg","Novartis (Lamisil), Cipla (Zimig)",95.00
albendazole,"albenza,zentel,albendazole tablets,noworm,bendex,zentel 400mg,albendazole 400mg,zentel suspension","GSK (Zentel), Cipla (Noworm)",25.00
mebendazole,"vermox,mebendazole tablets,wormin,nemasole,vermox 100mg,mebendazole 100mg","Janssen (Vermox), Various",18.00
ivermectin,"stromectol,ivermectin tablets,ivecop,scabo,ivomec,ivermectin 3mg,ivermectin 6mg,ivecop 3","Merck (Stromectol), Cipla (Ivecop)",65.00
chloroquine,"aralen,chloroquine phosphate,resochin,avloclor,chloroquine 150mg,chloroquine 250mg","Sanofi (Resochin), Bayer (Avloclor)",15.00
artemether lumefantrine,"coartem,riamet,artemether-lumefantrine,co-artem,coartem 80/480",Novartis (Coartem/Riamet),350.00
amlodipine atenolol,"amlopres at,amlopin at,amchek at,amlodipin atenolol,amlopres at 5/50","Sun Pharma (Amlopres), Cipla",45.00
glipizide,"glucotrol,glipizide xl,minidiab,glibenese,glipizide tablets,glipizide 5mg,glipizide 10mg","Pfizer (Glucotrol), Various",22.00
pioglitazone,"actos,pioglit,pioz,pioglitazone hcl,piosys,actos 15mg,pioglitazone 15mg,pioglitazone 30mg","Takeda (Actos), Sun Pharma (Pioglit)",65.00
sitagliptin,"januvia,sitagliptin phosphate,istavel,janumet,zituvimet,januvia 50mg,januvia 100mg,sitagliptin 100mg","Merck (Januvia), Sun Pharma",185.00
empagliflozin,"jardiance,empagliflozin tablets,synjardy,jardiance 10mg,jardiance 25mg,empagliflozin 10mg",Boehringer/Eli Lilly (Jardiance),295.00
dapagliflozin,"farxiga,forxiga,dapagliflozin tablets,xigduo,forxiga 10mg,dapagliflozin 10mg",AstraZeneca (Farxiga/Forxiga),285.00
etoricoxib,"arcoxia,etorex,etoricoxib tablets,etova,nucoxia,arcoxia 60mg,arcoxia 90mg,arcoxia 120mg,etoricoxib 90mg","Merck (Arcoxia), Sun Pharma (Etova)",95.00
celecoxib,"celebrex,celecoxib capsules,cobix,celact,caditar,celebrex 100mg,celebrex 200mg,celecoxib 200mg","Pfizer (Celebrex), Sun Pharma (Cobix)",85.00
naproxen,"naprosyn,aleve,naproxen sodium,proxen,naxen,naprosyn 250mg,naproxen 250mg,naproxen 500mg","Roche (Naprosyn), Bayer (Aleve)",28.00
meloxicam,"mobic,meloxicam tablets,mefenamic,melox,movalis,mobic 7.5mg,mobic 15mg,meloxicam 7.5mg,meloxicam 15mg","Boehringer (Mobic/Movalis), Sun Pharma",28.00
rabeprazole,"aciphex,razo,rabeprazole sodium,rablet,rabeloc,razo 20mg,rabeprazole 20mg,aciphex 20","Eisai (Aciphex), Sun Pharma (Razo), Cipla (Rablet)",55.00
lansoprazole,"prevacid,lanzo,lanzol,lansoprazole capsules,lanpro,prevacid,lanzo 30mg,lansoprazole 30mg","Takeda (Prevacid), Sun Pharma (Lanzo)",45.00
sucralfate,"carafate,sucral,sucralfate suspension,ulsanic,alsucral,sucralfate 1g","Marion (Carafate), Cipla (Sucral)",28.00
ondansetron odt,"zofran odt,ondem md,emeset od,ondansetron orally disintegrating,zofran 4mg odt","GSK (Zofran ODT), Cipla",65.00
granisetron,"kytril,granisetron hcl,granisol,granicip,kytril 1mg,granisetron 1mg","Roche (Kytril), Cipla (Granicip)",145.00
promethazine,"phenergan,promethazine hcl,avomine,phenargan,prothiazine,phenergan 25mg,promethazine 25mg",Sanofi (Phenergan/Avomine),18.00
hyoscine,"buscopan,hyoscine butylbromide,scopoderm,hyosine,scopolamine,buscopan 10mg,hyoscine 10mg",Boehringer (Buscopan),22.00
bisacodyl,"dulcolax,bisacodyl tablets,dulco-lax,correctol,bisacodyl suppository,dulcolax 5mg,bisacodyl 5mg",Boehringer (Dulcolax),18.00
lactulose,"duphalac,lactulose solution,lactugal,laevolac,lactulose syrup,duphalac syrup,lactulose 10g/15ml","Solvay (Duphalac), Various",185.00
isosorbide mononitrate,"imdur,monoket,ismo,isosorbide mononitrate tablets,monit,imdur 30mg,isosorbide mononitrate 30mg","AstraZeneca (Imdur), Various",35.00
glyceryl trinitrate,"nitroglycerine,nitrolingual,nitroglycerin,ntg,glycerin trinitrate,nitrodur,gttn spray,nitrolingual spray",Various,280.00
heparin,"heparin sodium,heplock,heparin injection,hep-flush,heparin 5000iu",Various,185.00
enoxaparin,"clexane,lovenox,enoxaparin sodium,xaparin,clexane 40mg,clexane 60mg,enoxaparin 40mg",Sanofi (Clexane/Lovenox),950.00
rivaroxaban,"xarelto,rivaroxaban tablets,xarelto 10mg,xarelto 15mg,xarelto 20mg,rivaroxaban 20mg",Bayer/Janssen (Xarelto),295.00
apixaban,"eliquis,apixaban tablets,eliquis 5mg,apixaban 5mg",BMS/Pfizer (Eliquis),285.00
ticagrelor,"brilinta,brilique,ticagrelor tablets,brilinta 90mg,ticagrelor 90mg",AstraZeneca (Brilinta/Brilique),395.00
